"","Date","AUS3MT=RR","AUS6MT=RR","AUS1YT=RR","AUS2YT=RR","AUS3YT=RR","AUS4YT=RR","AUS5YT=RR","AUS6YT=RR","AUS7YT=RR","AUS8YT=RR","AUS9YT=RR","AUS10YT=RR","AUS15YT=RR","AUS20YT=RR","AUS30YT=RR","CAN3MT=RR","CAN6MT=RR","CAN1YT=RR","CAN2YT=RR","CAN3YT=RR","CAN4YT=RR","CAN5YT=RR","CAN6YT=RR","CAN7YT=RR","CAN8YT=RR","CAN9YT=RR","CAN10YT=RR","CAN15YT=RR","CAN20YT=RR","CAN30YT=RR","CHE3MT=RR","CHE6MT=RR","CHE1YT=RR","CHE2YT=RR","CHE3YT=RR","CHE4YT=RR","CHE5YT=RR","CHE6YT=RR","CHE7YT=RR","CHE8YT=RR","CHE9YT=RR","CHE10YT=RR","CHE15YT=RR","CHE20YT=RR","CHE30YT=RR","CHN3MT=RR","CHN6MT=RR","CHN1YT=RR","CHN2YT=RR","CHN3YT=RR","CHN4YT=RR","CHN5YT=RR","CHN6YT=RR","CHN7YT=RR","CHN8YT=RR","CHN9YT=RR","CHN10YT=RR","CHN15YT=RR","CHN20YT=RR","CHN30YT=RR","DEU3MT=RR","DEU6MT=RR","DEU1YT=RR","DEU2YT=RR","DEU3YT=RR","DEU4YT=RR","DEU5YT=RR","DEU6YT=RR","DEU7YT=RR","DEU8YT=RR","DEU9YT=RR","DEU10YT=RR","DEU15YT=RR","DEU20YT=RR","DEU30YT=RR","FRA3MT=RR","FRA6MT=RR","FRA1YT=RR","FRA2YT=RR","FRA3YT=RR","FRA4YT=RR","FRA5YT=RR","FRA6YT=RR","FRA7YT=RR","FRA8YT=RR","FRA9YT=RR","FRA10YT=RR","FRA15YT=RR","FRA20YT=RR","FRA30YT=RR","GBR3MT=RR","GBR6MT=RR","GBR1YT=RR","GBR2YT=RR","GBR3YT=RR","GBR4YT=RR","GBR5YT=RR","GBR6YT=RR","GBR7YT=RR","GBR8YT=RR","GBR9YT=RR","GBR10YT=RR","GBR15YT=RR","GBR20YT=RR","GBR30YT=RR","ITA3MT=RR","ITA6MT=RR","ITA1YT=RR","ITA2YT=RR","ITA3YT=RR","ITA4YT=RR","ITA5YT=RR","ITA6YT=RR","ITA7YT=RR","ITA8YT=RR","ITA9YT=RR","ITA10YT=RR","ITA15YT=RR","ITA20YT=RR","ITA30YT=RR","JPN3MT=RR","JPN6MT=RR","JPN1YT=RR","JPN2YT=RR","JPN3YT=RR","JPN4YT=RR","JPN5YT=RR","JPN6YT=RR","JPN7YT=RR","JPN8YT=RR","JPN9YT=RR","JPN10YT=RR","JPN15YT=RR","JPN20YT=RR","JPN30YT=RR","MEX3MT=RR","MEX6MT=RR","MEX1YT=RR","MEX2YT=RR","MEX3YT=RR","MEX4YT=RR","MEX5YT=RR","MEX6YT=RR","MEX7YT=RR","MEX8YT=RR","MEX9YT=RR","MEX10YT=RR","MEX15YT=RR","MEX20YT=RR","MEX30YT=RR","NOR3MT=RR","NOR6MT=RR","NOR1YT=RR","NOR2YT=RR","NOR3YT=RR","NOR4YT=RR","NOR5YT=RR","NOR6YT=RR","NOR7YT=RR","NOR8YT=RR","NOR9YT=RR","NOR10YT=RR","NOR15YT=RR","NOR20YT=RR","NOR30YT=RR","USA3MT=RR","USA6MT=RR","USA1YT=RR","USA2YT=RR","USA3YT=RR","USA4YT=RR","USA5YT=RR","USA6YT=RR","USA7YT=RR","USA8YT=RR","USA9YT=RR","USA10YT=RR","USA15YT=RR","USA20YT=RR","USA30YT=RR"
"nbr.val",4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044
"nbr.null",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,4,0,3,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,5,3,4,0,5,2,0,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"min",12600,0.769,0.707,0.675,0.607,0.581,0.591,0.639,0.7,0.756,0.822,0.864,0.885,1.089,1.31,1.558,0.184,0.202,0.3,0.291,0.332,0.372,0.484,0.623,0.695,0.774,0.87,0.983,1.242,1.295,1.306,-0.963,-0.929,-1.165,-1.217,-1.194,-1.196,-1.196,-1.178,-1.172,-1.184,-1.201,-1.138,-0.869,-0.809,-0.644,0.917,0.872,0.957,1.136,1.294,1.57,1.782,1.948,2.136,2.315,2.483,2.481,2.476,2.473,2.47,-1.09,-0.973,-0.969,-0.939,-0.973,-0.973,-0.941,-0.931,-0.888,-0.838,-0.781,-0.722,-0.532,-0.402,-0.244,-1.023,-0.935,-0.801,-0.859,-0.867,-0.832,-0.773,-0.714,-0.639,-0.563,-0.492,-0.415,-0.108,0.123,0.419,0.031,0.049,0.024,0.035,0.077,0.102,0.161,0.158,0.199,0.265,0.337,0.4,0.678,0.904,0.939,-0.84,-0.496,-0.484,-0.257,-0.069,0.068,0.237,0.403,0.534,0.62,0.731,0.875,1.387,1.703,2.043,-0.453,-0.434,-0.371,-0.36,-0.373,-0.391,-0.396,-0.402,-0.402,-0.385,-0.338,-0.285,-0.125,0.025,0.053,0.42,2.963,1.512,1.152,2.589,3.338,3.786,4.098,4.284,4.448,4.534,4.619,5.051,5.321,5.873,0.143,0.151,0.199,0.408,0.42,0.493,0.545,0.614,0.684,0.759,0.846,0.888,0.885,0.884,0.882,-0.014,0.012,0.054,0.164,0.28,0.42,0.559,0.732,0.907,1.092,1.28,1.389,1.587,1.798,1.992
"max",18261,7.376,7.376,7.376,7.316,7.156,7.072,6.96,6.93,6.903,6.89,6.878,6.873,6.877,6.882,6.888,4.591,4.7,4.809,4.803,4.827,4.814,4.801,4.8,4.814,4.939,5.031,5.076,5.341,5.597,5.612,3.127,3.202,3.375,3.057,3.101,3.178,3.2,3.259,3.275,3.371,3.447,3.455,3.61,3.717,3.733,5.346,4.804,4.382,4.457,4.537,4.627,4.874,4.969,5.045,5.089,5.291,5.503,6.04,6.008,6.009,4.387,4.432,4.69,4.703,4.74,4.79,4.767,4.774,4.748,4.749,4.684,4.686,4.945,5.112,5.195,4.445,4.459,4.657,4.831,4.853,4.92,4.91,4.859,4.829,4.819,4.829,4.851,5.05,5.171,5.116,6.038,5.941,5.883,5.922,5.951,5.909,5.821,5.789,5.762,5.687,5.594,5.543,5.312,5.199,5.07,6.185,8.063,8.394,7.85,7.902,7.918,7.895,7.852,7.81,7.617,7.332,7.492,8.221,8.93,7.584,0.739,0.782,0.85,1.112,1.291,1.48,1.631,1.747,1.886,1.98,2.052,2.05,2.552,2.725,3.295,10.261,10.386,10.57,10.405,10.578,10.793,10.897,10.947,11.334,12.236,12.45,12.413,12.277,13.285,12.726,6.04,6.128,6.243,5.878,5.603,5.471,5.335,5.268,5.273,5.278,5.277,5.276,5.275,5.274,5.273,5.186,5.326,5.323,5.354,5.325,5.312,5.301,5.305,5.325,5.346,5.367,5.388,5.419,5.457,5.839
"range",5661,6.607,6.669,6.701,6.709,6.575,6.481,6.321,6.23,6.147,6.068,6.014,5.988,5.788,5.572,5.33,4.407,4.498,4.509,4.512,4.495,4.442,4.317,4.177,4.119,4.165,4.161,4.093,4.099,4.302,4.306,4.09,4.131,4.54,4.274,4.295,4.374,4.396,4.437,4.447,4.555,4.648,4.593,4.479,4.526,4.377,4.429,3.932,3.425,3.321,3.243,3.057,3.092,3.021,2.909,2.774,2.808,3.022,3.564,3.535,3.539,5.477,5.405,5.659,5.642,5.713,5.763,5.708,5.705,5.636,5.587,5.465,5.408,5.477,5.514,5.439,5.468,5.394,5.458,5.69,5.72,5.752,5.683,5.573,5.468,5.382,5.321,5.266,5.158,5.048,4.697,6.007,5.892,5.859,5.887,5.874,5.807,5.66,5.631,5.563,5.422,5.257,5.143,4.634,4.295,4.131,7.025,8.559,8.878,8.107,7.971,7.85,7.658,7.449,7.276,6.997,6.601,6.617,6.834,7.227,5.541,1.192,1.216,1.221,1.472,1.664,1.871,2.027,2.149,2.288,2.365,2.39,2.335,2.677,2.7,3.242,9.841,7.423,9.058,9.253,7.989,7.455,7.111,6.849,7.05,7.788,7.916,7.794,7.226,7.964,6.853,5.897,5.977,6.044,5.47,5.183,4.978,4.79,4.654,4.589,4.519,4.431,4.388,4.39,4.39,4.391,5.2,5.314,5.269,5.19,5.045,4.892,4.742,4.573,4.418,4.254,4.087,3.999,3.832,3.659,3.847
"sum",62400942,14479.067,14486.696,14463.484,14616.095,14888.819,15229.891,15580.484,15926.971,16232.582,16509.287,16731.012,16920.486,17800.135,18181.109,18353.087,6256.068,6647.03,7093.002,7597.72,8232.07,8818.088,9338.726,9828.339,10304.051,10754.861,11135.41,11438.931,12530.527,13249.681,13218.844,1253.497,1587.533,1792.419,1446.11,1838.911,2268.451,2771.819,3234.108,3704.52,4108.991,4478.215,4807.943,5969.982,6419.298,6622.761,10219.911,10392.507,10724.772,11496.864,12211.658,12859.015,13348.211,13858.904,14187.443,14470.254,14716.022,14870.53,15307.16,15370.111,15579.777,3150.82,3349.993,3674.265,4049.545,4524.479,5194.414,5853.006,6427.343,7004.725,7559.181,8056.132,8502.91,10044.955,10906.307,11164.892,3516.104,3623.317,3915.152,4550.612,5223.081,6044.311,6824.636,7438.975,8105.815,8771.035,9399.765,9954.306,11617.27,12389.633,13142.463,6916.889,6990.982,6950.326,7415.137,8176.113,8906.896,9506.675,9993.237,10529.027,11074.221,11571.201,11949.104,13237.697,13867.39,13911.345,4671.817,5337.333,6124.853,7795.994,9095.306,10179.173,11163.632,11950.576,12777.594,13500.867,14232.094,14908.019,16733.482,17917.162,18679.883,322.551,350.272,444.35,688.964,950.077,1280.935,1630.228,1928.796,2283.51,2731.802,3167.671,3554.877,5013.945,6393.85,7351.821,24075.707,24470.645,24522.987,25105.002,26313.704,27263.803,28014.066,28627.14,29188.27,29753.335,30159.124,30464.303,32148.268,33566.965,34534.619,7897.495,7961.852,8170.95,8511.709,8949.486,9476.872,9982.162,10466.791,10892.414,11270.541,11610.69,11846.947,12002.197,12058.609,12114.998,5382.158,5861.496,6241.128,7069.362,7903.603,8780.611,9627.324,10370.961,11094.837,11590.93,12087.105,12550.43,13408.136,14259.165,16127.767
"median",15430.5,3.0095,3.0175,2.891,2.9295,3.117,3.314,3.51,3.7135,3.879,4.0225,4.131,4.2275,4.603,4.6215,4.572,0.981,1.065,1.224,1.4465,1.6605,1.842,1.9975,2.121,2.252,2.3505,2.4675,2.5355,2.7795,3.0265,3.141,0.052,0.144,0.307,0.113,0.102,0.1905,0.3285,0.504,0.669,0.821,0.9475,1.042,1.409,1.5385,1.5695,2.502,2.576,2.72,2.8855,3.011,3.151,3.24,3.392,3.4795,3.5405,3.564,3.603,3.71,3.7085,3.838,0.1145,0.127,0.144,0.2295,0.3845,0.6185,0.8905,1.1035,1.331,1.549,1.764,1.936,2.502,2.734,2.7645,0.174,0.1945,0.269,0.626,0.961,1.3695,1.739,1.9835,2.213,2.417,2.608,2.772,3.302,3.4825,3.679,0.548,0.5785,0.645,0.791,1.062,1.4735,1.8015,2.028,2.2595,2.486,2.712,2.8435,3.281,3.5755,3.814,0.614,0.855,1.1875,1.8445,2.372,2.718,2.9905,3.217,3.4385,3.6865,3.9245,4.094,4.4795,4.6075,4.823,0.059,0.059,0.085,0.11,0.161,0.228,0.313,0.409,0.532,0.683,0.824,0.9555,1.435,1.85,2.0485,6.17,6.2325,6.4175,6.5535,6.725,6.925,7.097,7.2235,7.304,7.4045,7.4795,7.5595,7.798,8.044,8.267,1.709,1.668,1.6625,1.6305,1.748,1.9375,2.15,2.351,2.5295,2.677,2.804,2.8615,2.842,2.8315,2.821,0.315,0.474,0.662,1.0695,1.467,1.73,1.964,2.198,2.403,2.5715,2.722,2.853,3.0455,3.29,3.936
"mean",15430.5,3.58038254203759,3.58226904055391,3.57652917903066,3.61426681503462,3.68170598417408,3.7660462413452,3.85274085064293,3.93842012858556,4.01399159248269,4.08241518298714,4.13724332344214,4.18409643916914,4.40161597428289,4.49582319485658,4.53834990108803,1.547,1.64367705242334,1.75395697329377,1.87876360039565,2.0356256181998,2.18053610286845,2.30927942631058,2.43035089020772,2.54798491592483,2.65946117705242,2.75356330365974,2.82861795252226,3.09854772502473,3.27638006923838,3.2687546983185,0.309964638971316,0.392565034619189,0.443229228486647,0.357593966369931,0.454725766567755,0.560942383778437,0.685415182987141,0.799729970326409,0.916053412462908,1.01607096933729,1.10737265084075,1.18890776458952,1.47625667655786,1.58736350148368,1.63767581602374,2.52717878338279,2.56985830860534,2.65202077151335,2.84294362017804,3.0196978239367,3.17977621167161,3.30074455984174,3.42702868447082,3.50826978239367,3.57820326409496,3.63897675568744,3.67718348170129,3.78515331355094,3.80071983184965,3.85256602373887,0.779134520276954,0.828386003956479,0.908571958456973,1.00137116716123,1.1188128090999,1.28447428288823,1.44733086053412,1.58935286844708,1.73212784371909,1.86923367952522,1.9921196834817,2.10259891196835,2.48391567754698,2.69691073194857,2.76085361028684,0.869461918892186,0.895973541048467,0.968138476755687,1.12527497527201,1.29156305637982,1.49463674579624,1.68759545004946,1.83950914935707,2.00440529179031,2.16890084075173,2.32437314540059,2.4615,2.87271760633037,3.06370746785361,3.24986721068249,1.71040776458952,1.72872947576657,1.71867606330366,1.83361449060336,2.02178857566766,2.20249653808111,2.35080984174085,2.47112685459941,2.60361696340257,2.7384324925816,2.86132566765579,2.95477349159248,3.27341666666667,3.42912710187933,3.43999629080119,1.15524653808111,1.31981528189911,1.51455316518299,1.92779277942631,2.2490865479723,2.51710509396637,2.76054203758655,2.955137487636,3.15964243323442,3.33849332344214,3.51931107814046,3.6864537586548,4.13785410484669,4.43055440158259,4.6191599901088,0.0797603857566766,0.0866152324431256,0.109878832838773,0.170366963402572,0.234934965380811,0.316749505440158,0.403122650840752,0.476952522255193,0.564666172106825,0.67551978239367,0.783301434223541,0.879049703264095,1.23984792284866,1.58107072205737,1.81795771513353,5.95343892185955,6.05109915924827,6.06404228486647,6.20796290801187,6.50685064292779,6.74179104846686,6.92731602373887,7.07891691394659,7.21767309594461,7.35740232443126,7.45774579624134,7.53321043521266,7.94962116716123,8.30043644906034,8.53971785361029,1.95289193867458,1.96880613254204,2.0205118694362,2.10477472799209,2.21302818991098,2.34344015825915,2.46838822947577,2.58822725024728,2.69347527200791,2.78697848664688,2.87109050445104,2.92951211671612,2.96790232443126,2.9818518793274,2.99579574678536,1.33089960435213,1.44943026706231,1.5433056379822,1.74811127596439,1.95440232443126,2.17126879327399,2.38064391691395,2.56453041543027,2.74353041543027,2.86620425321464,2.98889836795252,3.10346933728981,3.3155628090999,3.52600519287834,3.98807294757666
"SE.mean",25.7037680037882,0.0275273744018805,0.0277339182391726,0.0279108953236572,0.0277649695509583,0.0275415941406564,0.0271415657898491,0.0263688092600739,0.0256043585813026,0.0248858837734591,0.0242539013704549,0.0237988039042864,0.0235414061139018,0.0216122698817225,0.0200141789828702,0.0189791681266429,0.0191062935937312,0.0193433161297323,0.0193433066443451,0.0184958445062643,0.0183660379843427,0.0181991613517033,0.0180258532630677,0.0179014479638598,0.0177159988071981,0.0175700635295587,0.0174448533031578,0.0172602476757309,0.0170838034000046,0.0166812603191269,0.0159110003720686,0.0171102160587196,0.017375448705653,0.0195070693643544,0.0177639434375929,0.0182311716245498,0.0184593776875946,0.0187452833285535,0.0187411198493102,0.0188340983383504,0.0188668703539569,0.018909752033068,0.0188325114425184,0.0185597708612476,0.0183797104221237,0.0173064809227319,0.0115898698381542,0.0115905906758698,0.0114737866813136,0.0108112009998257,0.0099454079921907,0.00939708447671706,0.00933922034413069,0.0091360366179315,0.00880187745386931,0.00884314542213978,0.00901013146873539,0.00896634744230704,0.00948153510871988,0.00942841690829371,0.0096686736550823,0.0245806175540089,0.024915097527738,0.0255918884369088,0.0255762872182683,0.025851850107587,0.0259861883860773,0.0256690221402605,0.0256632989133992,0.0255565892207072,0.0253041408253004,0.0247675031939122,0.0242968724355472,0.0243434940585009,0.0243467663815,0.022773112489511,0.0245521013757745,0.0247063500482724,0.0249881305332303,0.0250775019965013,0.0250839786254081,0.0250334151608244,0.0247360836216574,0.0244470744525683,0.0241630599264504,0.0238842632319866,0.023484870403486,0.0230686472199722,0.0222040329856942,0.0212483618252037,0.0194218016781911,0.031322448473996,0.031298276224297,0.0307559844196795,0.0295538083836898,0.0284133873784048,0.0270454702299791,0.0258584085470173,0.0251052880617853,0.0243755998317438,0.023538044840511,0.0228789920070906,0.022300283289986,0.0202922408012325,0.0187410802813044,0.0174539931557382,0.0235244409857028,0.0236473913742846,0.0241015274872196,0.0246600610840747,0.0248062330844953,0.0243105096770976,0.0239011066372675,0.0228983522686007,0.022231607357757,0.0217396624285794,0.0214969510895645,0.0218201102638672,0.021653653068129,0.0215085285575816,0.0188242220261215,0.00392691289792073,0.00401933907609522,0.00427006381749897,0.00512202638621663,0.00587287894377295,0.00676456391571493,0.00762936700051678,0.00827153129551399,0.00882899048761934,0.00944206924758577,0.009977685198523,0.0103199399730819,0.0110903222349847,0.0113439023420552,0.0119601305583358,0.0316884198518453,0.031156987630894,0.0318430749650076,0.028936166228887,0.02617932339608,0.024588065967695,0.0237570831816004,0.0229691044782321,0.0223121659299908,0.0219989162914466,0.0215911637435467,0.0212663436551676,0.019702917686674,0.0205449583225347,0.0194747790476472,0.0211927580616437,0.021790358099119,0.0221727765261823,0.0212054739923343,0.0205832624459469,0.0203392382328679,0.0200250632603823,0.0197584955740322,0.0194414219367187,0.0191697554329425,0.018915676607073,0.018768671917705,0.0181211639780625,0.0177976646820763,0.0174980695536214,0.0254933698350952,0.0259751853920125,0.025361528092617,0.0237018578298097,0.0221020200833321,0.0206141140338881,0.0193648647043216,0.0183017804291182,0.0174271628986968,0.0169552231586554,0.016593790167935,0.0163453689794675,0.0153571242846366,0.0148824762243771,0.0151242047362286
