"","AUS_B_1","CAN_B_1","CHE_B_1","CHN_B_1","DEU_B_1","FRA_B_1","GBR_B_1","ITA_B_1","JPN_B_1","MEX_B_1","NOR_B_1","USA_B_1","AUS_B_2","CAN_B_2","CHE_B_2","CHN_B_2","DEU_B_2","FRA_B_2","GBR_B_2","ITA_B_2","JPN_B_2","MEX_B_2","NOR_B_2","USA_B_2","AUS_B_3","CAN_B_3","CHE_B_3","CHN_B_3","DEU_B_3","FRA_B_3","GBR_B_3","ITA_B_3","JPN_B_3","MEX_B_3","NOR_B_3","USA_B_3"
"2004-07-01",6.27630735381545,5.89740070764767,3.83220313101595,6.52263195907539,5.41300930244647,5.28285899328305,4.95343405903904,5.74276350131186,3.10959321832752,12.9789396066858,5.19142158720022,5.83763813782298,-0.868085700406624,-4.00746803941674,-3.29953119189904,-3.06033996255499,-3.27412211256795,-3.12533235019344,-0.518958367824525,-3.73973241754491,-2.69153491992399,-5.01037987947479,-3.67600715421109,-4.57641605154538,-1.17959198678423,-1.70438735677239,-2.36026070809563,-5.19798193698353,-3.55745021417346,-3.56569145708241,1.29934654446327,-3.81617520536973,-5.780446835114,-6.94816857628341,-1.50082299423773,-3.13652587975415
"2004-07-02",6.26810948639365,5.82063602061435,3.84359402103042,6.41921837356179,5.38759141967506,5.25931908755269,4.92040418834327,5.71339663429374,3.05496902823797,12.7591509717763,5.14590625571697,5.77025322317555,-0.819836371797058,-3.95316425663864,-3.27468697304572,-2.96191994468165,-3.21719212639359,-3.07239961120153,-0.472918748012912,-3.67702483243022,-2.60286350622301,-4.92796142640782,-3.63313219552996,-4.40471751417349,-1.11465963799287,-2.0052856644608,-2.6408947777774,-5.1157877632737,-3.82790244418399,-3.81849482895998,1.22665697173609,-4.07668269965975,-5.90294902319462,-7.05721047003676,-1.62088433121374,-3.6076377340628
"2004-07-05",6.16445072895333,5.83527962424444,3.85614770736248,6.40792929306375,5.38672143011584,5.2587022780547,4.92939921581522,5.72084745550284,3.0343972555964,12.7470468013415,5.14323382340951,5.76856270584007,-0.776761979830067,-3.96032490861323,-3.31522605633966,-2.96195324206254,-3.21328419458452,-3.06646968593368,-0.483904417697238,-3.68216337090053,-2.59418511140223,-4.9490368967488,-3.6106408037113,-4.39259577175845,-1.05465662568732,-2.01423946774155,-2.74887546809077,-5.09912535929622,-3.82550785683446,-3.81879701236079,1.25068192786856,-4.11066649244432,-5.81347559949944,-6.93145933529182,-1.62121195013186,-3.61340237446851
"2004-07-06",6.16437839198163,5.86876731267063,3.85507884544916,6.40774999544456,5.38805408939456,5.25984158275255,4.91939574869093,5.72668599589188,3.05174392409734,12.7248182778632,5.13461348931205,5.77915238538032,-0.793466958199552,-3.98808834785767,-3.32340792179445,-2.96456511075617,-3.20757207603028,-3.06206909664698,-0.480940256717968,-3.6768594364187,-2.59454863829921,-4.85389011692553,-3.56976433111539,-4.42847741633031,-1.09574768137342,-2.09760536423258,-2.77588374275715,-5.09609151566437,-3.82471412897348,-3.8170287182577,1.33572167864607,-4.13573310420728,-5.9319600774957,-7.04237167204522,-1.67551229305454,-3.5073372246717
"2004-07-07",6.11328968301366,5.88761481895549,3.85498676087736,6.4078550265201,5.37956851035243,5.25153185984638,4.88342638718544,5.7248787730073,3.09092406171358,12.618495855747,5.12744017528206,5.80004967341101,-0.756294998594184,-4.00347411254011,-3.30865366606592,-2.96617300592778,-3.18369704999641,-3.03631960151845,-0.448355948892756,-3.64671945658732,-2.63110568669812,-4.80677649988773,-3.54486995847952,-4.38337769990603,-1.0359931886807,-2.18062764746692,-2.81585527091426,-5.09472413957301,-3.94484908271151,-3.94142798010416,1.38569086092541,-4.27038904499297,-6.00492295546041,-6.63135152642922,-1.65081477235704,-4.0461944835211
"2004-07-08",5.99038955316714,5.87791382120681,3.85047819542491,6.40752279419698,5.37329452486892,5.24723441335305,4.88736321392676,5.71709234130215,3.05200513468439,12.5780900918187,5.12622613077455,5.79057024430478,-0.624505175415545,-3.98612773948773,-3.31125652087492,-2.96880441883414,-3.17529589453334,-3.03647334356375,-0.447393978354802,-3.64510455166458,-2.6014220944653,-4.69866875087687,-3.57122408279856,-4.4511468938002,-1.08469103372563,-2.28800654105386,-2.88333440031012,-5.09039076235223,-3.94004267522791,-3.92984582550324,1.33478020108537,-4.2544503441703,-5.92395424427227,-6.54655125611508,-1.57470440003396,-3.55805563659068
"2004-07-09",6.03140831055703,5.85298705774924,3.85103581565729,6.36953334620847,5.37326034548355,5.24514435299047,4.90880544729561,5.71880881735905,3.121030622637,12.5261903078909,5.11180032470257,5.76694860432365,-0.676785352581317,-3.955115602806,-3.2926950568245,-3.01390657829331,-3.17554754405258,-3.03515256092325,-0.473415589739969,-3.65298378881165,-2.67572280115129,-4.68835885917327,-3.64692186009917,-4.41778716224663,-1.09136628959985,-2.20957057089601,-2.94131958964028,-4.97383206622356,-3.92403801364231,-3.90316607719806,1.33791795503202,-4.23638448975104,-5.98407512943641,-6.54261913313803,-1.45525655993796,-3.53610070913281
"2004-07-12",6.07167429858025,5.83500128627539,3.73209026322425,6.36108985651728,5.3539817154938,5.23226453640486,4.89158439934485,5.69582435412474,3.09147239115243,12.4501579909334,5.12492123324385,5.75397060664891,-0.717677598239133,-3.90568828318474,-3.20183072639466,-3.01286678974647,-3.17556237400464,-3.01477129888748,-0.457035392355244,-3.56902570252191,-2.64006175742195,-4.61493629979572,-3.56338067248376,-4.37293815754538,-1.23722398532674,-2.11750230432337,-2.65067469223355,-4.9618116838506,-3.89023644901557,-3.92272005197901,1.37021765936878,-4.26264552985555,-5.98226972488736,-6.67263850108072,-1.7252854978402,-3.55200905560662
"2004-07-13",6.10293803772104,5.85588407552897,3.73206616068843,6.25466447482547,5.38670350475781,5.26566176332651,4.94772619844931,5.74318920091719,3.04301545940373,12.3853771222694,5.14154667627986,5.76602098658633,-0.743786175144982,-3.91680820057318,-3.23678062370862,-2.93438993735148,-3.22282181858941,-3.06724085025079,-0.530492513732918,-3.63279667123525,-2.60205021432383,-4.55234812739337,-3.633785439072,-4.37495522773559,-1.19765597829827,-2.07227302237564,-2.4134369843062,-4.58845676282533,-3.73029898162717,-3.7649798785103,1.46903505626556,-4.16858346090483,-5.87491973889544,-6.8765327589164,-1.44903075773932,-3.4897856822082
"2004-07-14",6.1310500867286,5.83664707994186,3.72733014176544,6.26736829656834,5.3788079180997,5.25794794308157,4.92992456142962,5.72971725308849,3.05465978267039,12.3621945248195,5.12429026687412,5.76113176560544,-0.747193831953657,-3.90691219856838,-3.2126985823819,-3.08849332409795,-3.21578798269644,-3.05555942648597,-0.51171510126405,-3.66255947298483,-2.63239761973781,-4.46625774347781,-3.5943251053356,-4.36001662024452,-1.09938469235347,-1.86682319030047,-2.47891473128185,-4.61981156795264,-3.75297253338913,-3.7938853411553,1.46325089224204,-4.10812365173507,-5.79024756494075,-6.86825872375766,-1.51110014704537,-3.37501607774757
